Position,Players
DE,Calais Campbell
DE,Everson Griffen
DE,DeMarcus Lawrence
DE,Joey Bosa
DT,Aaron Donald
DT,Fletcher Cox
DT,Geno Atkins
DT,Cameron Heyward
DT,Malik Jackson
DT,Ndamukong Suh
DT,Kawann Short
OLB,Chandler Jones
OLB,Von Miller
OLB,Ryan Kerrigan
OLB,Jadeveon Clowney
ILB,Luke Kuechly
ILB,Ryan Shazier
LB,Bobby Wagner
LB,Deion Jones
LB,Telvin Smith
LB,Lavonte David
LB,C.J. Mosley
CB,Jalen Ramsey
CB,Xavier Rhodes
CB,Darius Slay
CB,Casey Hayward
CB,A.J. Bouye
CB,Marshon Lattimore
CB,Tre'Davious White
S,Harrison Smith
S,Kevin Byard
S,Earl Thomas
S,Adrian Amos
S,Eric Weddle
S,Glover Quin
S,Micah Hyde
S,Lamarcus Joyner
DB,Patrick Robinson
K,Matt Prater
K,Robbie Gould
QB,Patrick Mahomes
QB,Drew Brees
RB,Todd Gurley
RB,Saquon Barkley
RB,Ezekiel Elliott
RB,Phillip Lindsay
RB,Derrick Henry
WR,DeAndre Hopkins
WR,Michael Thomas
WR,Tyreek Hill
WR,Julio Jones
WR,Keenan Allen
TE,Travis Kelce
TE,George Kittle
TE,Zach Ertz
RB,Christian McCaffrey
RB,Alvin Kamara
OT,Duane Brown
OT,Tyron Smith
OT,Mitchell Schwartz
OT,David Bakhtiari
OT,Terron Armstead
OT,Taylor Lewan
OG,Joel Bitonio
OG,Quenton Nelson
OG,Zack Martin
OG,Marshal Yanda
OG,Brandon Brooks
C,Jason Kelce
C,Maurkice Pouncey
C,Rodney Hudson
OG,Shaq Mason
OT,Ryan Ramczyk
DE,J.J. Watt
DE,Danielle Hunter
DE,Cameron Jordan
DE,Myles Garrett
DE,DeMarcus Lawrence
DE,Trey Flowers
DT,Fletcher Cox
DT,Aaron Donald
DT,Chris Jones
DT,Geno Atkins
DT,Akiem Hicks
OLB,Khalil Mack
OLB,Von Miller
OLB,Shaquille Leonard
OLB,Ryan Kerrigan
ILB,Bobby Wagner
ILB,C.J. Mosley
LB,Luke Kuechly
LB,Leighton Vander Esch
LB,Zach Brown
CB,Kyle Fuller
CB,Stephon Gilmore
CB,Byron Jones
CB,Patrick Peterson
CB,Xavien Howard
S,Eddie Jackson
S,Derwin James
S,Jamal Adams
S,Harrison Smith
S,Kevin Byard
DB,Desmond King
DB,Kareem Jackson
K,Wil Lutz
P,Michael Dickson
P,Thomas Morstead
P,Brett Kern
P,Johnny Hekker
PR,Tarik Cohen
KR,Andre Roberts
KR,Richie James
KR,Cordarrelle Patterson
KR,Tremon Smith
ST,Adrian Phillips
ST,Albert McClellan
ST,Cory Littleton
PK,Aldrick Rosas
QB,Lamar Jackson
QB,Russell Wilson
RB,Ben Roethlisberger
RB,Derrick Henry
RB,Dalvin Cook
RB,Nick Chubb
WR,Michael Thomas
WR,Julio Jones
WR,DeAndre Hopkins
WR,Chris Godwin
WR,Keenan Allen
WR,Mike Evans
TE,George Kittle
TE,Travis Kelce
RB,Austin Ekeler
OT,Anthony Castonzo
OT,Laremy Tunsil
OT,Ryan Ramczyk
OT,Ronnie Stanley
OT,David Bakhtiari
OT,Mitchell Schwartz
OG,Joe Thuney
OG,Joel Bitonio
OG,Quenton Nelson
OG,Zack Martin
OG,Marshal Yanda
OG,Brandon Brooks
C,Jason Kelce
C,Rodney Hudson
C,Ryan Jensen
DE,Cameron Jordan
DE,Joey Bosa
DE,Danielle Hunter
DE,Za'Darius Smith
DE,Calais Campbell
DT,Aaron Donald
DT,Cameron Heyward
DT,Grady Jarrett
DT,Chris Jones
DT,DeForest Buckner
DT,D.J. Reader
OLB,T.J. Watt
OLB,Chandler Jones
OLB,Shaquil Barrett
OLB,Matt Judon
ILB,Bobby Wagner
ILB,Shaquille Leonard
LB,Demario Davis
LB,Eric Kendricks
LB,Luke Kuechly
LB,Lavonte David
CB,Stephon Gilmore
CB,Tre'Davious White
CB,Marcus Peters
CB,Richard Sherman
CB,Marshon Lattimore
CB,Casey Hayward
CB,Quinton Dunbar
S,Jamal Adams
S,Minkah Fitzpatrick
S,Anthony Harris
S,Justin Simmons
S,Harrison Smith
DB,Tyrann Mathieu
DB,Marlon Humphrey
DB,Marcus Williams
K,Josh Lambo
P,Brett Kern
P,Tress Way
P,JK Scott
PR,Deonte Harty
PR,Diontae Johnson
KR,Cordarrelle Patterson
KR,Mecole Hardman
KR,Andre Roberts
ST,Matthew Slater
ST,J.T. Gray
PK,Justin Tucker
PK,Wil Lutz
QB,Aaron Rodgers
QB,Patrick Mahomes
QB,Josh Allen
RB,Derrick Henry
RB,Dalvin Cook
RB,Alvin Kamara
RB,Nick Chubb
WR,Davante Adams
WR,Stefon Diggs
WR,Tyreek Hill
WR,DeAndre Hopkins
WR,Justin Jefferson
WR,D.K. Metcalf
WR,A.J. Brown
WR,Calvin Ridley
WR,Cole Beasley
TE,Travis Kelce
TE,T.J. Hockenson
TE,Darren Waller
WR,Allen Robinson
OT,Jack Conklin
OT,David Bakhtiari
OT,Trent Williams
OT,Garett Bolles
OG,Quenton Nelson
OG,Joel Bitonio
OG,Brandon Scherff
OG,Ali Marpet
C,Corey Linsley
C,Jason Kelce
C,Ryan Kelly
C,Frank Ragnow
OG,Wyatt Teller
OT,Tristan Wirfs
OT,Ryan Ramczyk
DE,Myles Garrett
DE,Joey Bosa
DE,Trey Hendrickson
DE,Cameron Jordan
DE,Chase Young
DE,DeMarcus Lawrence
DT,Aaron Donald
DT,Chris Jones
DT,DeForest Buckner
DT,Fletcher Cox
DT,Cameron Heyward
OLB,T.J. Watt
OLB,Khalil Mack
OLB,Za'Darius Smith
OLB,Bradley Chubb
ILB,Fred Warner
ILB,Shaquille Leonard
LB,Bobby Wagner
LB,Roquan Smith
LB,Lavonte David
LB,Devin White
LB,Myles Jack
LB,Eric Kendricks
LB,Demario Davis
CB,Xavien Howard
CB,Jalen Ramsey
CB,Jaire Alexander
CB,Tre'Davious White
CB,James Bradberry
LS,Morgan Cox
LS,Luke Rhodes
S,Tyrann Mathieu
S,Minkah Fitzpatrick
S,Budda Baker
S,Jessie Bates III
S,Adrian Amos
S,Jamal Adams
S,Justin Simmons
S,John Johnson
DB,Bryce Callahan
DB,Darious Williams
P,Jake Bailey
P,Jack Fox
P,Bradley Pinion
QB,Aaron Rodgers
QB,Tom Brady
QB,Joe Burrow
RB,Jonathan Taylor
RB,Nick Chubb
RB,Joe Mixon
RB,Dalvin Cook
RB,Antonio Gibson
WR,Cooper Kupp
WR,Davante Adams
WR,Deebo Samuel
WR,Ja'Marr Chase
WR,Tyreek Hill
WR,Justin Jefferson
TE,Mark Andrews
TE,Travis Kelce
TE,George Kittle
OT,Jordan Mailata
OT,Tristan Wirfs
OT,Trent Williams
OT,Rashawn Slater
OT,Kolton Miller
OG,Zack Martin
OG,Joel Bitonio
OG,Ali Marpet
OG,Quenton Nelson
C,Jason Kelce
C,Creed Humphrey
C,Corey Linsley
OG,Shaq Mason
OG,Wyatt Teller
OT,Lane Johnson
DL,Jeffery Simmons
DL,Christian Wilkins
DE,Myles Garrett
DE,Nick Bosa
DE,Maxx Crosby
DE,Cameron Jordan
DT,Aaron Donald
DT,Cameron Heyward
DT,Chris Jones
DT,Jonathan Allen
OLB,Micah Parsons
OLB,T.J. Watt
OLB,Robert Quinn
OLB,Matt Judon
ILB,De'Vondre Campbell
ILB,Shaquille Leonard
LB,Demario Davis
LB,Roquan Smith
LB,Lavonte David
LB,Bobby Wagner
CB,Jalen Ramsey
CB,Trevon Diggs
CB,AJ Terrell
CB,J.C. Jackson
CB,Xavien Howard
CB,Chidobe Awuzie
CB,Darius Slay
LS,Luke Rhodes
LS,Josh Harris
S,Kevin Byard
S,Jordan Poyer
S,Derwin James
S,Antoine Winfield Jr.
S,Budda Baker
S,Quandre Diggs
S,Micah Hyde
S,Marcus Williams
S,Justin Simmons
K,Daniel Carlson
K,Jake Elliott
P,AJ Cole III
P,Bryan Anger
PR,Devin Duvernay
PR,Jakeem Grant
KR,Braxton Berrios
KR,Kene Nwangwu
KR,Andre Roberts
QB,Patrick Mahomes
QB,Jalen Hurts
QB,Joe Burrow
RB,Josh Jacobs
RB,Nick Chubb
RB,Saquon Barkley
RB,Derrick Henry
RB,Christian McCaffrey
FB,Kyle Juszczyk
WR,Justin Jefferson
WR,Davante Adams
WR,Tyreek Hill
WR,A.J. Brown
WR,Stefon Diggs
WR,CeeDee Lamb
WR,Amon-Ra St. Brown
TE,Travis Kelce
TE,George Kittle
OT,Andrew Thomas
OT,Lane Johnson
OT,Trent Williams
OT,Laremy Tunsil
OT,Terron Armstead
OG,Joel Bitonio
OG,Zack Martin
OG,Chris Lindstrom
OG,Joe Thuney
C,Jason Kelce
C,Creed Humphrey
OG,Michael Onwenu
OT,Tristan Wirfs
DL,Aaron Donald
DL,Jeffery Simmons
DL,Cameron Heyward
DE,Nick Bosa
DE,Myles Garrett
DE,Maxx Crosby
DE,Brian Burns
DT,Chris Jones
DT,Dexter Lawrence
DT,Quinnen Williams
DT,Javon Hargrave
DT,Daron Payne
OLB,Micah Parsons
OLB,Haason Reddick
OLB,Matt Judon
OLB,Matt Milano
OLB,Alex Highsmith
ILB,Fred Warner
ILB,Roquan Smith
LB,Bobby Wagner
LB,T.J. Edwards
LB,C.J. Mosley
LB,Lavonte David
LB,Demario Davis
CB,Patrick Surtain II
CB,Sauce Gardner
CB,Darius Slay
CB,Jaire Alexander
CB,James Bradberry
CB,Patrick Peterson
LS,Andrew DePaola
LS,Morgan Cox
LS,Nick Moore
LS,Zach Wood
S,Minkah Fitzpatrick
S,Derwin James
S,Talanoa Hufanga
S,Ryan Neal
S,C.J. Gardner-Johnson
S,Justin Simmons
S,Tyrann Mathieu
S,Kamren Curl
K,Daniel Carlson
K,Jason Myers
K,Justin Tucker
P,Tommy Townsend
P,Ryan Stonehouse
P,Johnny Hekker
QB,Lamar Jackson
QB,Dak Prescott
QB,Josh Allen
RB,Christian McCaffrey
RB,Kyren Williams
RB,Raheem Mostert
RB,Derrick Henry
RB,Kyle Juszczyk
FB,Michael Burton
WR,Patrick Ricard
WR,Hunter Luepke
WR,CeeDee Lamb
WR,Tyreek Hill
WR,Amon-Ra St. Brown
WR,Brandon Aiyuk
WR,Nico Collins
TE,A.J. Brown
TE,Puka Nacua
OT,D.J. Moore
OT,Mike Evans
OT,George Kittle
OT,Travis Kelce
OT,T.J. Hockenson
OG,Sam LaPorta
OG,Tyron Smith
OG,Jordan Mailata
OG,Trent Williams
C,Penei Sewell
C,Dion Dawkins
OG,Laremy Tunsil
OT,Tyler Smith
DL,Joe Thuney
DL,Zack Martin
DL,Chris Lindstrom
DE,Joel Bitonio
DE,Jason Kelce
DE,Frank Ragnow
DE,Creed Humphrey
DT,Kevin Dotson
DT,Lane Johnson
DT,Derrick Brown
DT,Justin Madubuike
DT,Myles Garrett
OLB,Maxx Crosby
OLB,Trey Hendrickson
OLB,Nick Bosa
OLB,Aidan Hutchinson
OLB,Aaron Donald
ILB,Chris Jones
ILB,Dexter Lawrence
LB,Quinnen Williams
LB,Micah Parsons
LB,T.J. Watt
LB,Danielle Hunter
LB,Josh Allen
CB,Fred Warner
CB,Roquan Smith
CB,Demario Davis
CB,Quincy Williams
CB,Bobby Wagner
CB,Patrick Queen
LS,C.J. Mosley
LS,DaRon Bland
LS,Sauce Gardner
LS,Jaylon Johnson
S,Patrick Surtain II
S,Trent McDuffie
S,Devon Witherspoon
S,Kendall Fuller
S,Charvarius Ward
S,Taron Johnson
S,Ross Matiscik
S,Andrew DePaola
K,Mitchell Fraboni
K,Jessie Bates III
K,Kyle Hamilton
P,Antoine Winfield Jr.
P,Jevon Holland
P,Justin Simmons
